streak#,date,startTime,runningTime(min),Distance(mile),weather,temperature(C),Shoes
731,20171231,06:01 pm,15,2.1,Clear,2,VaporGlove2_02
730,20171230,12:43 pm,33,4.1,Cloudy,8,VaporGlove2_02
729,20171229,05:37 pm,24,3.3,Rain,11,VaporGlove2_02
728,20171228,09:04 am,31,4.1,Rain,7,VaporGlove2_02
727,20171227,08:54 am,36,4.8,Cloudy,3,VaporGlove2_02
726,20171226,09:00 am,37,4.8,Cloudy,0,VaporGlove2_02
725,20171225,06:02 pm,24,3.2,Cloudy,1,VaporGlove2_02
724,20171224,04:38 pm,27,3.1,Snow,3,VaporGlove2_02
723,20171223,10:29 am,20,2.1,Sunny,1,VaporGlove2_02
722,20171222,09:08 am,37,4.2,Rainy,4,VaporGlove2_02
721,20171221,08:47 am,33,4.1,Sunny,2,VaporGlove2_02
720,20171220,08:32 am,36,4.8,Sunny,4,VaporGlove2_02
719,20171219,05:26 pm,37,4.3,Cloudy,4,VaporGlove2_02
718,20171218,08:35 am,37,4.8,Rain,7,VaporGlove2_02
717,20171217,09:24 am,24,3.3,Rain,4,VaporGlove2_02
716,20171216,09:03 pm,25,3.3,Rain,7,VaporGlove2_02
715,20171215,09:17 pm,32,4.2,Cloudy,4,VaporGlove2_02
714,20171214,08:29 am,35,4.2,Sunny,4,VaporGlove2_02
713,20171213,08:25 am,37,4.8,Cloudy,4,VaporGlove2_02
712,20171212,08:44 am,37,4.8,Cloudy,3,VaporGlove2_02
711,20171211,08:02 am,36,4.8,Fog,0,VaporGlove2_02
710,20171210,09:07 am,40,4.8,Sunny,2,VaporGlove2_02
709,20171209,09:16 am,25,3.1,Fog,0,VaporGlove2_02
708,20171208,10:25 pm,25,3.1,Fog,1,VaporGlove2_02
707,20171207,08:45 am,32,4.1,Sunny,3,VaporGlove2_02
706,20171206,05:23 pm,33,4.2,Cloudy,5,VaporGlove2_02
705,20171205,05:42 pm,23,3.4,Cloudy,5,VaporGlove2_02
704,20171204,04:39 pm,33,4.2,Cloudy,5,VaporGlove2_02
703,20171203,09:05 am,32,4.1,Cloudy,4,VaporGlove2_02
702,20171202,09:20 pm,25,3.4,Rain,5,VaporGlove2_02
701,20171201,08:54 am,32,4.3,Cloudy,6,VaporGlove2_02
700,20171130,05:45 pm,32,4.3,Cloudy,5,VaporGlove2_02
699,20171129,08:41 am,35,4.8,Cloudy,7,VaporGlove2_02
698,20171128,08:11 am,37,4.8,Rain,8,VaporGlove2_02
697,20171127,05:09 pm,31,4.1,Rain,5,VaporGlove2_02
696,20171126,06:09 pm,23,3.4,Rain,8,VaporGlove2_02
695,20171125,08:45 am,22,3.4,Cloudy,8,VaporGlove2_02
694,20171124,11:24 pm,13,2,Cloudy,10,VaporGlove2_02
693,20171123,01:13 pm,22,3.4,Cloudy,13,VaporGlove2_02
692,20171122,08:17 am,36,4.8,Cloudy,13,VaporGlove2_02
691,20171121,08:10 am,36,4.8,Rain,6,VaporGlove2_02
690,20171120,04:38 pm,32,4.3,Cloudy,5,VaporGlove2_02
689,20171119,08:24 am,72,8.8,Cloudy,6,VaporGlove2_02
688,20171118,08:42 am,30,4.3,Cloudy,8,VaporGlove2_02
687,20171117,08:09 am,35,4.8,Cloudy,6,VaporGlove2_02
686,20171116,05:39 pm,31,4.2,Cloudy,9,VaporGlove2_02
685,20171115,05:00 pm,30,4.2,Cloudy,9,VaporGlove2_02
684,20171114,07:52 am,35,4.8,Cloudy,8,VaporGlove2_02
683,20171113,08:34 am,36,4.8,Cloudy,8,VaporGlove2_02
682,20171112,09:15 pm,25,3.4,Rain,8,VaporGlove2_02
681,20171111,08:20 am,30,3.8,Rain,6,VaporGlove2_02
680,20171110,08:02 am,35,4.8,Cloudy,6,VaporGlove2_02
679,20171109,08:12 am,33,4.2,Rain,8,VaporGlove2_02
678,20171108,05:27 pm,31,4.2,Rain,7,VaporGlove2_02
677,20171107,05:35 pm,32,4.2,Cloudy,6,VaporGlove2_02
676,20171106,05:34 pm,33,4.2,Cloudy,6,VaporGlove2_02
675,20171105,08:50 pm,24,3.4,Cloudy,1,VaporGlove2_02
674,20171104,09:08 am,27,3.8,Cloudy,1,VaporGlove2_02
673,20171103,06:08 am,20,2.7,Cloudy,13,VaporGlove2_02
672,20171102,08:19 am,33,4.8,Cloudy,10,VaporGlove2_02
671,20171101,05:39 pm,31,4,Cloudy,10,VaporGlove2_02
670,20171031,08:41 pm,24,3.3,Clear,8,VaporGlove2_02
669,20171030,05:45 pm,31,4,Sunny,9,VaporGlove2_02
668,20171029,08:55 am,30,2.8,Fog,10,VaporGlove2_02
667,20171028,09:24 pm,20,2.7,Cloudy,11,VaporGlove2_02
666,20171027,08:35 am,32,4.1,Sunny,10,VaporGlove2_02
665,20171026,05:37 pm,31,4.1,Sunny,14,VaporGlove2_02
664,20171025,08:42 am,35,4.8,Cloudy,10,VaporGlove2_02
663,20171024,05:38 pm,32,4.4,Sunny,14,VaporGlove2_02
662,20171023,08:31 am,33,4.8,Cloudy,12,VaporGlove2_02
661,20171022,11:59 pm,12,1.7,Cloudy,10,VaporGlove2_02
660,20171021,11:40 am,30,3.2,Rain,9,VaporGlove2_02
659,20171020,05:05 pm,33,4.3,Cloudy,10,VaporGlove2_02
658,20171019,11:40 pm,20,2.7,Rain,9,VaporGlove2_02
657,20171018,04:47 pm,33,4.3,Rain,16,VaporGlove2_02
656,20171017,05:44 pm,33,4.3,Cloudy,13,VaporGlove2_02
655,20171016,09:42 pm,23,3.4,Cloudy,13,VaporGlove2_02
654,20171015,08:03 am,20,2.9,Sunny,5,VaporGlove2_02
653,20171014,09:22 am,31,3.8,Cloudy,6,VaporGlove2_02
652,20171013,08:35 am,36,4.8,Sunny,8,VaporGlove2_02
